RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NU1020013,1,300034286,526550,1,AP-MONTH=10,20201107,0,20201222,1,0,SST,1,16.18,2020,10,
2,NU1020013,1,1,"Admin Fee /TS# /Job#200166670",269.67,0,1,3102-324, /Batch #NU1020013 /Timesheet #,16.18,,,,,,,
2,NU1020013,1,2,"Day Shift Allowance /TS# /Job#200166670",140.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,3,"Day Shift Allowance /TS# /Job#200166670",80.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,4,"EIS /TS# /Job#200166670",2.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,5,"EPF /TS# /Job#200166670",29.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,6,"Over Time 1.5 /TS# /Job#200166670",1312.08,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,7,"Over Time 2.0 /TS# /Job#200166670",1272.32,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,8,"Perfect Attendance /TS# /Job#200166670",100.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,1,9,"SOCSO /TS# /Job#200166670",17.40,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
3,NU1020013,1,1,20201222,3238.65,,,,,,,,,,,,
1,NU1020013,2,300034284,526551,1,AP-MONTH=10,20201107,0,20201222,1,0,SST,1,14.75,2020,10,
2,NU1020013,2,1,"Admin Fee /TS# /Job#200167523",245.90,0,1,3102-324, /Batch #NU1020013 /Timesheet #,14.75,,,,,,,
2,NU1020013,2,2,"Auto Allowance /TS# /Job#200167523",100.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,3,"Day Shift Allowance /TS# /Job#200167523",120.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,4,"Day Shift Allowance /TS# /Job#200167523",110.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,5,"EIS /TS# /Job#200167523",4.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,6,"EPF /TS# /Job#200167523",31.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,7,"Over Time 1.5 /TS# /Job#200167523",1300.20,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,8,"Over Time 2.0 /TS# /Job#200167523",693.60,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,9,"Perfect Attendance /TS# /Job#200167523",100.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,2,10,"SOCSO /TS# /Job#200167523",34.90,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
3,NU1020013,2,1,20201222,2754.35,,,,,,,,,,,,
1,NU1020013,3,300034284,526552,1,AP-MONTH=10,20201107,0,20201222,1,0,SST,1,7.35,2020,10,
2,NU1020013,3,1,"Admin Fee /TS# /Job#200167273",122.53,0,1,3102-324, /Batch #NU1020013 /Timesheet #,7.35,,,,,,,
2,NU1020013,3,2,"Auto Allowance /TS# /Job#200167273",100.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,3,"Day Shift Allowance /TS# /Job#200167273",130.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,4,"Day Shift Allowance /TS# /Job#200167273",50.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,5,"EIS /TS# /Job#200167273",1.80,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,6,"EPF /TS# /Job#200167273",24.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,7,"Over Time 1.5 /TS# /Job#200167273",597.84,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,8,"Perfect Attendance /TS# /Job#200167273",100.00,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,3,9,"SOCSO /TS# /Job#200167273",15.70,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
3,NU1020013,3,1,20201222,1149.22,,,,,,,,,,,,
1,NU1020013,4,300034283,526553,1,AP-MONTH=10,20201107,0,20201222,1,0,SST,1,7.65,2020,10,
2,NU1020013,4,1,"Admin Fee /TS# /Job#200166689",127.55,0,1,3102-324, /Batch #NU1020013 /Timesheet #,7.65,,,,,,,
2,NU1020013,4,2,"EIS /TS# /Job#200166689",2.80,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,4,3,"Over Time 2.0 /TS# /Job#200166689",1569.50,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
2,NU1020013,4,4,"SOCSO /TS# /Job#200166689",24.40,0,2,3102-324, /Batch #NU1020013 /Timesheet #,0.00,,,,,,,
3,NU1020013,4,1,20201222,1731.90,,,,,,,,,,,,
1,NU1020013,5,300034284,526554,1,AP-MONTH=10,20201107,0,20201222,1,0,SST,1,8.60,2020,10,
