RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300035033,CN501385,3,AP-MONTH=04,20220412,0,20220512,1,1,GST,3,9.80,2022,04
2,,1,1,+Med Benefit Reimburse /TS# /Job#200178429,100.00,0,1,3102-321, /Batch # /Timesheet #,6.00
2,,1,2,Admin Fee /TS# /Job#200178429,63.35,0,1,3102-321, /Batch # /Timesheet #,3.80
2,,1,3,EIS /TS# /Job#200178429,0.70,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,4,EPF /TS# /Job#200178429,45.00,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,5,Normal /TS# /Job#200178429,335.48,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,6,SOCSO /TS# /Job#200178429,6.15,0,2,3102-321, /Batch # /Timesheet #,0.00
3,,1,1,20220512,560.48
1,,1,300035033,CN501386,3,AP-MONTH=04,20220412,0,20220512,1,1,GST,3,15.45,2022,04
2,,1,1,+Med Benefit Reimburse /TS# /Job#200178565,100.00,0,1,3102-321, /Batch # /Timesheet #,6.00
2,,1,2,Admin Fee /TS# /Job#200178565,157.44,0,1,3102-321, /Batch # /Timesheet #,9.45
2,,1,3,EIS /TS# /Job#200178565,1.90,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,4,EPF /TS# /Job#200178565,128.00,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,5,Normal /TS# /Job#200178565,964.52,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,6,SOCSO /TS# /Job#200178565,16.65,0,2,3102-321, /Batch # /Timesheet #,0.00
3,,1,1,20220512,1383.96
1,,1,300035033,CN501387,3,AP-MONTH=04,20220412,0,20220512,1,1,GST,3,16.19,2022,04
2,,1,1,+Med Benefit Reimburse /TS# /Job#200178551,100.00,0,1,3102-321, /Batch # /Timesheet #,6.00
2,,1,2,Admin Fee /TS# /Job#200178551,169.89,0,1,3102-321, /Batch # /Timesheet #,10.19
2,,1,3,EIS /TS# /Job#200178551,2.10,0,2,3102-321, /Batch # /Timesheet #,0.00
2,,1,4,EPF /TS# /Job#200178551,138.00,0,2,3102-321, /Batch # /Timesheet #,0.00
