RECTYPE,BATCHID,BTCHENTRY,SRCELEDGER,SRCETYPE,DATEENTRY,JRNLDESC,FSCSYR,FSCSPERD
RECTYPE,BATCHNBR,JOURNALID,TRANSNBR,ACCTID,TRANSAMT,TRANSREF,TRANSDATE,SRCELDGR,SRCETYPE,COMMENT,TRANSDESC
1,MI0219001,1,GL,JE,20190208,Cost of Sales - Pays,2019,2
2,MI0219001,1,1,4102-324,1041.94,/TS# /Job#200155228,20190208,GL,JE,/Batch #MI0219001 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219001,1,2,2201,-1041.94,/TS# /Job#200155228,20190208,GL,JE,/Batch #MI0219001 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219001,1,3,4102-324,109.68,/TS# /Job#200155228,20190208,GL,JE,/Batch #MI0219001 /TSheet # /PaySlip # /Item: "Fixed Allowance","Fixed Allowance"
2,MI0219001,1,4,2201,-109.68,/TS# /Job#200155228,20190208,GL,JE,/Batch #MI0219001 /TSheet # /PaySlip # /Item: "Fixed Allowance","Fixed Allowance"
1,MI0219016,2,GL,JE,20190226,Cost of Sales - Pays,2019,2
2,MI0219016,2,1,4102-321,9503.2,/TS# /Job#200155230,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219016,2,2,2201,-9503.2,/TS# /Job#200155230,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219016,2,3,4102-321,1776,/TS# /Job#200155230,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,MI0219016,2,4,2201,-1776,/TS# /Job#200155230,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,MI0219016,3,GL,JE,20190226,Cost of Sales - Pays,2019,2
2,MI0219016,3,1,4102-321,8667.94,/TS# /Job#200155231,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219016,3,2,2201,-8667.94,/TS# /Job#200155231,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219016,3,3,4102-321,1382.4,/TS# /Job#200155231,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,MI0219016,3,4,2201,-1382.4,/TS# /Job#200155231,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,MI0219016,4,GL,JE,20190226,Cost of Sales - Pays,2019,2
2,MI0219016,4,1,4103-321,3893,/TS# /Job#200155224,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219016,4,2,2201,-3893,/TS# /Job#200155224,20190226,GL,JE,/Batch #MI0219016 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,MI0219021,5,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,MI0219021,5,1,4102-321,7935,/TS# /Job#200146860,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,5,2,2201,-7935,/TS# /Job#200146860,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,5,3,4112-321,500,/TS# /Job#200146860,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Auto Allowance","Auto Allowance"
2,MI0219021,5,4,2201,-500,/TS# /Job#200146860,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Auto Allowance","Auto Allowance"
2,MI0219021,5,5,4102-321,112.89,/TS# /Job#200146860,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,MI0219021,5,6,2201,-112.89,/TS# /Job#200146860,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,MI0219021,6,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,MI0219021,6,1,4102-301,7700,/TS# /Job#200154352,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,6,2,2201,-7700,/TS# /Job#200154352,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,6,3,4102-301,250,/TS# /Job#200154352,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Fixed Allowance","Fixed Allowance"
2,MI0219021,6,4,2201,-250,/TS# /Job#200154352,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Fixed Allowance","Fixed Allowance"
1,MI0219021,7,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,MI0219021,7,1,4102-301,11410.03,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,7,2,2201,-11410.03,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,7,3,4102-301,250,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Fixed Allowance","Fixed Allowance"
2,MI0219021,7,4,2201,-250,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Fixed Allowance","Fixed Allowance"
2,MI0219021,7,5,4102-301,2441.35,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,MI0219021,7,6,2201,-2441.35,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,MI0219021,7,7,4102-301,-815,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Unpaid Leave","Unpaid Leave"
2,MI0219021,7,8,2201, 815,/TS# /Job#200148565,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Unpaid Leave","Unpaid Leave"
1,MI0219021,8,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,MI0219021,8,1,4102-301,5000,/TS# /Job#200155196,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,MI0219021,8,2,2201,-5000,/TS# /Job#200155196,20190228,GL,JE,/Batch #MI0219021 /TSheet # /PaySlip # /Item: "Normal","Normal"
1,MI0219027,9,GL,JE,20190228,Cost of Sales - Pays,2019,2
2,MI0219027,9,1,4103-301,1100,/TS# /Job#200150206,20190228,GL,JE,/Batch #MI0219027 /TSheet # /PaySlip # /Item: "Normal","Normal"
