RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,BA1220021,1,300034670,527301,1,AP-MONTH=12,20201228,0,20210127,1,0,SST,1,190.08,2020,12,
2,BA1220021,1,1,"+Med Benefit Reimburse /TS# /Job#200165687",160.00,0,1,3103-323, /Batch #BA1220021 /Timesheet #,9.60,,,,,,,
2,BA1220021,1,2,"Admin Fee /TS# /Job#200165687",2845.69,0,1,3103-323, /Batch #BA1220021 /Timesheet #,170.74,,,,,,,
2,BA1220021,1,3,"EPF /TS# /Job#200165687",600.00,0,2,3103-323, /Batch #BA1220021 /Timesheet #,0.00,,,,,,,
2,BA1220021,1,4,"Normal /TS# /Job#200165687",15000.00,0,2,3103-323, /Batch #BA1220021 /Timesheet #,0.00,,,,,,,
2,BA1220021,1,5,"Reimbursement/Claim /TS# /Job#200165687",162.30,0,1,3103-323, /Batch #BA1220021 /Timesheet #,9.74,,,,,,,
2,BA1220021,1,6,"SOCSO /TS# /Job#200165687",49.40,0,2,3103-323, /Batch #BA1220021 /Timesheet #,0.00,,,,,,,
3,BA1220021,1,1,20210127,19007.47,,,,,,,,,,,,
1,BA1220024,2,300004332,527302,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,47.78,2020,12,
2,BA1220024,2,1,"Admin Fee /TS# /Job#200162530",231.88,0,1,3103-301, /Batch #BA1220024 /Timesheet #,13.91,,,,,,,
2,BA1220024,2,2,"EIS /TS# /Job#200162530",2.90,0,2,3103-301, /Batch #BA1220024 /Timesheet #,0.00,,,,,,,
2,BA1220024,2,3,"EPF /TS# /Job#200162530",188.00,0,2,3103-301, /Batch #BA1220024 /Timesheet #,0.00,,,,,,,
2,BA1220024,2,4,"Normal /TS# /Job#200162530",1440.00,0,2,3103-301, /Batch #BA1220024 /Timesheet #,0.00,,,,,,,
2,BA1220024,2,5,"Reimbursement/Claim /TS# /Job#200162530",564.40,0,1,3103-301, /Batch #BA1220024 /Timesheet #,33.86,,,,,,,
2,BA1220024,2,6,"SOCSO /TS# /Job#200162530",25.35,0,2,3103-301, /Batch #BA1220024 /Timesheet #,0.00,,,,,,,
3,BA1220024,2,1,20210211,2500.31,,,,,,,,,,,,
1,BA1220041,3,300034136,527303,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,20.40,2020,12,
2,BA1220041,3,1,"+Med Benefit Reimburse /TS# /Job#200166723",100.00,0,1,3103-301, /Batch #BA1220041 /Timesheet #,6.00,,,,,,,
2,BA1220041,3,2,"Admin Fee /TS# /Job#200166723",240.00,0,1,3103-301, /Batch #BA1220041 /Timesheet #,14.40,,,,,,,
2,BA1220041,3,3,"EIS /TS# /Job#200166723",3.90,0,2,3103-301, /Batch #BA1220041 /Timesheet #,0.00,,,,,,,
2,BA1220041,3,4,"EPF /TS# /Job#200166723",260.00,0,2,3103-301, /Batch #BA1220041 /Timesheet #,0.00,,,,,,,
2,BA1220041,3,5,"Normal /TS# /Job#200166723",2000.00,0,2,3103-301, /Batch #BA1220041 /Timesheet #,0.00,,,,,,,
2,BA1220041,3,6,"SOCSO /TS# /Job#200166723",34.15,0,2,3103-301, /Batch #BA1220041 /Timesheet #,0.00,,,,,,,
3,BA1220041,3,1,20210211,2658.45,,,,,,,,,,,,
1,BA1220036,4,300033926,527304,1,AP-MONTH=12,20201228,0,20210127,1,0,SST,1,113.71,2020,12,
2,BA1220036,4,1,"+Med Benefit Reimburse /TS# /Job#200165385",95.00,0,1,3103-321, /Batch #BA1220036 /Timesheet #,5.70,,,,,,,
2,BA1220036,4,2,"+Med Benefit Reimburse /TS# /Job#200165386",95.00,0,1,3103-321, /Batch #BA1220036 /Timesheet #,5.70,,,,,,,
2,BA1220036,4,3,"+Med Benefit Reimburse /TS# /Job#200166729",95.00,0,1,3103-321, /Batch #BA1220036 /Timesheet #,5.70,,,,,,,
2,BA1220036,4,4,"+Med Benefit Reimburse /TS# /Job#200168412",95.00,0,1,3102-321, /Batch #BA1220036 /Timesheet #,5.70,,,,,,,
2,BA1220036,4,5,"+Med Benefit Reimburse /TS# /Job#200165494",95.00,0,1,3103-321, /Batch #BA1220036 /Timesheet #,5.70,,,,,,,
2,BA1220036,4,6,"+Med Benefit Reimburse /TS# /Job#200165492",95.00,0,1,3103-321, /Batch #BA1220036 /Timesheet #,5.70,,,,,,,
2,BA1220036,4,7,"Admin Fee /TS# /Job#200165385",178.40,0,1,3103-321, /Batch #BA1220036 /Timesheet #,10.70,,,,,,,
2,BA1220036,4,8,"Admin Fee /TS# /Job#200165386",178.40,0,1,3103-321, /Batch #BA1220036 /Timesheet #,10.70,,,,,,,
2,BA1220036,4,9,"Admin Fee /TS# /Job#200166729",479.69,0,1,3103-321, /Batch #BA1220036 /Timesheet #,28.78,,,,,,,
2,BA1220036,4,10,"Admin Fee /TS# /Job#200168412",173.71,0,1,3102-321, /Batch #BA1220036 /Timesheet #,10.42,,,,,,,
2,BA1220036,4,11,"Admin Fee /TS# /Job#200165494",156.19,0,1,3103-321, /Batch #BA1220036 /Timesheet #,9.37,,,,,,,
2,BA1220036,4,12,"Admin Fee /TS# /Job#200165492",158.84,0,1,3103-321, /Batch #BA1220036 /Timesheet #,9.53,,,,,,,
2,BA1220036,4,13,"EIS /TS# /Job#200165385",2.90,0,2,3103-321, /Batch #BA1220036 /Timesheet #,0.00,,,,,,,
2,BA1220036,4,14,"EIS /TS# /Job#200165386",2.90,0,2,3103-321, /Batch #BA1220036 /Timesheet #,0.00,,,,,,,
2,BA1220036,4,15,"EIS /TS# /Job#200166729",7.90,0,2,3103-321, /Batch #BA1220036 /Timesheet #,0.00,,,,,,,
