RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NU0119004,1,300028352,511935,1,AP-MONTH=01,20190110,0,20190224,1,0,SST,1,-752.45,2019,01,
2,NU0119004,1,1,"Sub-vendor's commission /TS# /Job#200080072",-12540.76,0,1,3102-324, /Batch #NU0119004 /Timesheet #,-752.45,,,,,,,
3,NU0119004,1,1,20190224,-13293.21,,,,,,,,,,,,
1,NU0119004,2,300028352,511936,1,AP-MONTH=01,20190110,0,20190224,1,0,SST,1,-209.91,2019,01,
2,NU0119004,2,1,"Sub-vendor's commission /TS# /Job#200080072",-3498.56,0,1,3102-324, /Batch #NU0119004 /Timesheet #,-209.91,,,,,,,
3,NU0119004,2,1,20190224,-3708.47,,,,,,,,,,,,
1,NO0119013,3,300034148,511937,1,AP-MONTH=01,20190111,0,20190210,1,0,SST,1,115.86,2019,01,
2,NO0119013,3,1,"Admin Fee /TS# /Job#200146624",1930.98,0,1,3102-500, /Batch #NO0119013 /Timesheet #,115.86,,,,,,,
2,NO0119013,3,2,"Direct Payroll Fund Transfer /TS# /Job#200146624",38619.63,0,2,2201-500, /Batch #NO0119013 /Timesheet #,0.00,,,,,,,
3,NO0119013,3,1,20190210,40666.47,,,,,,,,,,,,
1,WA0119003,4,300034229,511938,1,AP-MONTH=01,20190115,0,20190214,1,0,SST,1,3.69,2019,01,
2,WA0119003,4,1,"Admin Fee /TS# /Job#200148559",61.55,0,1,3103-301, /Batch #WA0119003 /Timesheet #,3.69,,,,,,,
2,WA0119003,4,2,"EIS /TS# /Job#200148559",1.30,0,2,3103-301, /Batch #WA0119003 /Timesheet #,0.00,,,,,,,
2,WA0119003,4,3,"EPF /TS# /Job#200148559",89.00,0,2,3103-301, /Batch #WA0119003 /Timesheet #,0.00,,,,,,,
2,WA0119003,4,4,"Normal /TS# /Job#200148559",667.74,0,2,3103-301, /Batch #WA0119003 /Timesheet #,0.00,,,,,,,
2,WA0119003,4,5,"SOCSO /TS# /Job#200148559",11.35,0,2,3103-301, /Batch #WA0119003 /Timesheet #,0.00,,,,,,,
3,WA0119003,4,1,20190214,834.63,,,,,,,,,,,,
1,WA0119002,5,300034345,511939,1,AP-MONTH=01,20190115,0,20190214,1,0,SST,1,10.63,2019,01,
2,WA0119002,5,1,"+Med Benefit Reimburse /TS# /Job#200154195",80.00,0,1,3101-301, /Batch #WA0119002 /Timesheet #,4.80,,,,,,,
2,WA0119002,5,2,"Admin Fee /TS# /Job#200154195",74.18,0,1,3101-301, /Batch #WA0119002 /Timesheet #,4.45,,,,,,,
2,WA0119002,5,3,"Admin Fee /TS# /Job#200154197",22.99,0,1,3101-301, /Batch #WA0119002 /Timesheet #,1.38,,,,,,,
2,WA0119002,5,4,"EIS /TS# /Job#200154195",1.10,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,5,"EIS /TS# /Job#200154197",0.40,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,6,"EPF /TS# /Job#200154195",76.00,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,7,"EPF /TS# /Job#200154197",26.00,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,8,"Normal /TS# /Job#200154195",575.00,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,9,"Normal /TS# /Job#200154197",200.00,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,10,"SOCSO /TS# /Job#200154195",9.65,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
2,WA0119002,5,11,"SOCSO /TS# /Job#200154197",3.50,0,2,3101-301, /Batch #WA0119002 /Timesheet #,0.00,,,,,,,
3,WA0119002,5,1,20190214,1079.45,,,,,,,,,,,,
1,WA0119004,6,300031128,511940,1,AP-MONTH=01,20190115,0,20190214,1,0,SST,1,64.80,2019,01,
2,WA0119004,6,1,"Piece Work /TS# /Job#200151225",189.00,0,1,3101-321, /Batch #WA0119004 /Timesheet #,11.34,,,,,,,
2,WA0119004,6,2,"Piece Work /TS# /Job#200151225",891.00,0,1,3101-321, /Batch #WA0119004 /Timesheet #,53.46,,,,,,,
3,WA0119004,6,1,20190214,1144.80,,,,,,,,,,,,
1,WA0119001,7,300034321,511941,1,AP-MONTH=01,20190115,0,20190316,1,0,SST,1,1.99,2019,01,
2,WA0119001,7,1,"Admin Fee /TS# /Job#200154474",33.17,0,1,3101-321, /Batch #WA0119001 /Timesheet #,1.99,,,,,,,
2,WA0119001,7,2,"EIS /TS# /Job#200154474",0.35,0,2,3101-321, /Batch #WA0119001 /Timesheet #,0.00,,,,,,,
2,WA0119001,7,3,"EPF /TS# /Job#200154474",21.00,0,2,3101-321, /Batch #WA0119001 /Timesheet #,0.00,,,,,,,
2,WA0119001,7,4,"Normal /TS# /Job#200154474",160.00,0,2,3101-321, /Batch #WA0119001 /Timesheet #,0.00,,,,,,,
2,WA0119001,7,5,"SOCSO /TS# /Job#200154474",2.95,0,2,3101-321, /Batch #WA0119001 /Timesheet #,0.00,,,,,,,
3,WA0119001,7,1,20190316,219.46,,,,,,,,,,,,
1,WA0119003,8,300034205,511942,1,AP-MONTH=01,20190115,0,20190214,1,0,SST,1,18.66,2019,01,
2,WA0119003,8,1,"Reimbursement/Claim /TS# /Job#200147997",311.00,0,1,3103-301, /Batch #WA0119003 /Timesheet #,18.66,,,,,,,
3,WA0119003,8,1,20190214,329.66,,,,,,,,,,,,
1,WA0119003,9,300034205,511943,1,AP-MONTH=01,20190115,0,20190214,1,0,SST,1,27.18,2019,01,
