RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,WA0819038,1,300033418,516701,1,AP-MONTH=08,20190828,0,20190911,1,0,SST,1,32.88,2019,08,
2,WA0819038,1,1,"Admin Fee /TS# /Job#200153494",200.00,0,1,3103-500, /Batch #WA0819038 /Timesheet #,12.00,,,,,,,
2,WA0819038,1,2,"Admin Fee /TS# /Job#200155097",200.00,0,1,3103-321, /Batch #WA0819038 /Timesheet #,12.00,,,,,,,
2,WA0819038,1,3,"EPF /TS# /Job#200153494",208.00,0,2,3103-500, /Batch #WA0819038 /Timesheet #,0.00,,,,,,,
2,WA0819038,1,4,"EPF /TS# /Job#200155097",120.00,0,2,3103-321, /Batch #WA0819038 /Timesheet #,0.00,,,,,,,
2,WA0819038,1,5,"Normal /TS# /Job#200153494",5150.00,0,2,3103-500, /Batch #WA0819038 /Timesheet #,0.00,,,,,,,
2,WA0819038,1,6,"Normal /TS# /Job#200155097",3000.00,0,2,3103-321, /Batch #WA0819038 /Timesheet #,0.00,,,,,,,
2,WA0819038,1,7,"Reimbursement/Claim /TS# /Job#200153494",148.00,0,1,3103-500, /Batch #WA0819038 /Timesheet #,8.88,,,,,,,
2,WA0819038,1,8,"SOCSO /TS# /Job#200153494",49.40,0,2,3103-500, /Batch #WA0819038 /Timesheet #,0.00,,,,,,,
2,WA0819038,1,9,"SOCSO /TS# /Job#200155097",36.90,0,2,3103-321, /Batch #WA0819038 /Timesheet #,0.00,,,,,,,
3,WA0819038,1,1,20190911,9145.18,,,,,,,,,,,,
1,WA0819035,2,300034172,516702,1,AP-MONTH=08,20190828,0,20190911,1,0,SST,1,10.76,2019,08,
2,WA0819035,2,1,"Admin Fee /TS# /Job#200156301",179.27,0,1,3102-321, /Batch #WA0819035 /Timesheet #,10.76,,,,,,,
2,WA0819035,2,2,"EIS /TS# /Job#200156301",5.10,0,2,3102-321, /Batch #WA0819035 /Timesheet #,0.00,,,,,,,
2,WA0819035,2,3,"EPF /TS# /Job#200156301",338.00,0,2,3102-321, /Batch #WA0819035 /Timesheet #,0.00,,,,,,,
2,WA0819035,2,4,"Fixed Allowance /TS# /Job#200156301",300.00,0,2,3102-321, /Batch #WA0819035 /Timesheet #,0.00,,,,,,,
2,WA0819035,2,5,"Normal /TS# /Job#200156301",2300.00,0,2,3102-321, /Batch #WA0819035 /Timesheet #,0.00,,,,,,,
2,WA0819035,2,6,"SOCSO /TS# /Job#200156301",44.65,0,2,3102-321, /Batch #WA0819035 /Timesheet #,0.00,,,,,,,
3,WA0819035,2,1,20190911,3177.78,,,,,,,,,,,,
1,WA0819022,3,300033956,516703,1,AP-MONTH=08,20190828,0,20190911,1,0,SST,1,41.82,2019,08,
2,WA0819022,3,1,"+Med Benefit Reimburse /TS# /Job#200157139",75.00,0,1,3102-321, /Batch #WA0819022 /Timesheet #,4.50,,,,,,,
2,WA0819022,3,2,"Admin Fee /TS# /Job#200157139",621.99,0,1,3102-321, /Batch #WA0819022 /Timesheet #,37.32,,,,,,,
2,WA0819022,3,3,"EIS /TS# /Job#200157139",4.10,0,2,3102-321, /Batch #WA0819022 /Timesheet #,0.00,,,,,,,
2,WA0819022,3,4,"EPF /TS# /Job#200157139",273.00,0,2,3102-321, /Batch #WA0819022 /Timesheet #,0.00,,,,,,,
2,WA0819022,3,5,"Normal /TS# /Job#200157139",2100.00,0,2,3102-321, /Batch #WA0819022 /Timesheet #,0.00,,,,,,,
2,WA0819022,3,6,"SOCSO /TS# /Job#200157139",35.85,0,2,3102-321, /Batch #WA0819022 /Timesheet #,0.00,,,,,,,
3,WA0819022,3,1,20190911,3151.76,,,,,,,,,,,,
1,RU0819013,4,300033940,516704,1,AP-MONTH=08,20190828,0,20191027,1,0,SST,1,47.75,2019,08,
2,RU0819013,4,1,"+Med Benefit Reimburse /TS# /Job#200158354",79.00,0,1,3102-321, /Batch #RU0819013 /Timesheet #,4.74,,,,,,,
2,RU0819013,4,2,"Admin Fee /TS# /Job#200158354",716.80,0,1,3102-321, /Batch #RU0819013 /Timesheet #,43.01,,,,,,,
2,RU0819013,4,3,"EIS /TS# /Job#200158354",7.90,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
2,RU0819013,4,4,"EPF /TS# /Job#200158354",557.00,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
2,RU0819013,4,5,"Fixed Allowance /TS# /Job#200158354",200.00,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
2,RU0819013,4,6,"Normal /TS# /Job#200158354",4000.00,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
2,RU0819013,4,7,"Phone allowance /TS# /Job#200158354",80.00,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
2,RU0819013,4,8,"SOCSO /TS# /Job#200158354",69.05,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
3,RU0819013,4,1,20191027,5757.50,,,,,,,,,,,,
1,RU0819013,5,300033940,516705,1,AP-MONTH=08,20190828,0,20191027,1,0,SST,1,55.12,2019,08,
2,RU0819013,5,1,"+Med Benefit Reimburse /TS# /Job#200158772",59.00,0,1,3102-321, /Batch #RU0819013 /Timesheet #,3.54,,,,,,,
2,RU0819013,5,2,"Admin Fee /TS# /Job#200158772",859.64,0,1,3102-321, /Batch #RU0819013 /Timesheet #,51.58,,,,,,,
2,RU0819013,5,3,"EIS /TS# /Job#200158772",7.90,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
2,RU0819013,5,4,"EPF /TS# /Job#200158772",645.00,0,2,3102-321, /Batch #RU0819013 /Timesheet #,0.00,,,,,,,
