RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,RU0819006,1,300034367,516801,1,AP-MONTH=08,20190828,0,20191027,1,0,SST,1,27.26,2019,08,
2,RU0819006,1,1,"+Med Benefit Reimburse /TS# /Job#200155228",75.00,0,1,3102-324, /Batch #RU0819006 /Timesheet #,4.50,,,,,,,
2,RU0819006,1,2,"Admin Fee /TS# /Job#200155228",379.27,0,1,3102-324, /Batch #RU0819006 /Timesheet #,22.76,,,,,,,
2,RU0819006,1,3,"EIS /TS# /Job#200155228",5.10,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
2,RU0819006,1,4,"EPF /TS# /Job#200155228",292.00,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
2,RU0819006,1,5,"Fixed Allowance /TS# /Job#200155228",200.00,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
2,RU0819006,1,6,"Normal /TS# /Job#200155228",1900.00,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
2,RU0819006,1,7,"Over Time 1.5 /TS# /Job#200155228",274.00,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
2,RU0819006,1,8,"SOCSO /TS# /Job#200155228",44.65,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
2,RU0819006,1,9,"Unpaid Leave Jun '19 /TS# /Job#200155228",126.66,0,2,3102-324, /Batch #RU0819006 /Timesheet #,0.00,,,,,,,
3,RU0819006,1,1,20191027,3323.94,,,,,,,,,,,,
1,WA0819053,2,300033728,516802,1,AP-MONTH=08,20190828,0,20190927,1,0,SST,1,15.20,2019,08,
2,WA0819053,2,1,"+Med Benefit Reimburse /TS# /Job#200157440",75.00,0,1,3103-321, /Batch #WA0819053 /Timesheet #,4.50,,,,,,,
2,WA0819053,2,2,"Admin Fee /TS# /Job#200157440",178.29,0,1,3103-321, /Batch #WA0819053 /Timesheet #,10.70,,,,,,,
2,WA0819053,2,3,"EIS /TS# /Job#200157440",3.10,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,4,"EPF /TS# /Job#200157440",143.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,5,"No Pay Leave for Aug /TS# /Job#200157440",-580.68,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,6,"No Pay Leave for Jul /TS# /Job#200157440",-322.60,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,7,"Normal /TS# /Job#200157440",2000.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,8,"Over Time 1.5 /TS# /Job#200157440",237.93,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,9,"Perfect Attendance /TS# /Job#200157440",200.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,2,10,"SOCSO /TS# /Job#200157440",27.15,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
3,WA0819053,2,1,20190927,1976.39,,,,,,,,,,,,
1,WA0819053,3,300033728,516803,1,AP-MONTH=08,20190828,0,20190927,1,0,SST,1,24.11,2019,08,
2,WA0819053,3,1,"+Med Benefit Reimburse /TS# /Job#200160206",75.00,0,1,3103-321, /Batch #WA0819053 /Timesheet #,4.50,,,,,,,
2,WA0819053,3,2,"Admin Fee /TS# /Job#200160206",326.83,0,1,3103-321, /Batch #WA0819053 /Timesheet #,19.61,,,,,,,
2,WA0819053,3,3,"EIS /TS# /Job#200160206",5.70,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,3,4,"EPF /TS# /Job#200160206",260.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,3,5,"Normal /TS# /Job#200160206",2000.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,3,6,"Over Time 1.5 /TS# /Job#200160206",677.74,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,3,7,"Perfect Attendance /TS# /Job#200160206",200.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,3,8,"SOCSO /TS# /Job#200160206",49.85,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
3,WA0819053,3,1,20190927,3619.23,,,,,,,,,,,,
1,WA0819053,4,300033728,516804,1,AP-MONTH=08,20190828,0,20190927,1,0,SST,1,23.36,2019,08,
2,WA0819053,4,1,"+Med Benefit Reimburse /TS# /Job#200160207",75.00,0,1,3103-321, /Batch #WA0819053 /Timesheet #,4.50,,,,,,,
2,WA0819053,4,2,"Admin Fee /TS# /Job#200160207",314.38,0,1,3103-321, /Batch #WA0819053 /Timesheet #,18.86,,,,,,,
2,WA0819053,4,3,"EIS /TS# /Job#200160207",5.50,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,4,4,"EPF /TS# /Job#200160207",260.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,4,5,"Normal /TS# /Job#200160207",2000.00,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
2,WA0819053,4,6,"Over Time 1.5 /TS# /Job#200160207",555.17,0,2,3103-321, /Batch #WA0819053 /Timesheet #,0.00,,,,,,,
