RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NO0820037,1,300034283,525375,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,16.18,2020,08,
2,NO0820037,1,1,"Admin Fee /TS# /Job#200166474",269.70,0,1,3102-324, /Batch #NO0820037 /Timesheet #,16.18,,,,,,,
2,NO0820037,1,2,"Day Shift Allowance /TS# /Job#200166474",140.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,1,3,"EIS /TS# /Job#200166474",0.20,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,1,4,"EPF /TS# /Job#200166474",18.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,1,5,"Over Time 1.5 /TS# /Job#200166474",2230.80,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,1,6,"Over Time 2.0 /TS# /Job#200166474",594.96,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,1,7,"Perfect Attendance /TS# /Job#200166474",100.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,1,8,"SOCSO /TS# /Job#200166474",1.70,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
3,NO0820037,1,1,20201022,3371.54,,,,,,,,,,,,
1,NO0820037,2,300034284,525376,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,10.39,2020,08,
2,NO0820037,2,1,"Admin Fee /TS# /Job#200163661",173.17,0,1,3102-324, /Batch #NO0820037 /Timesheet #,10.39,,,,,,,
2,NO0820037,2,2,"Day Shift Allowance /TS# /Job#200163661",130.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,2,3,"EIS /TS# /Job#200163661",1.60,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,2,4,"EPF /TS# /Job#200163661",18.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,2,5,"Over Time 1.5 /TS# /Job#200163661",1109.52,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,2,6,"Over Time 2.0 /TS# /Job#200163661",493.08,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,2,7,"Perfect Attendance /TS# /Job#200163661",100.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,2,8,"SOCSO /TS# /Job#200163661",13.90,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
3,NO0820037,2,1,20201022,2049.66,,,,,,,,,,,,
1,BA0820044,3,300017790,525377,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,636.83,2020,08,
2,BA0820044,3,1,"Normal /TS# /Job#200166310",10613.85,0,1,3102-301, /Batch #BA0820044 /Timesheet #,636.83,,,,,,,
3,BA0820044,3,1,20201022,11250.68,,,,,,,,,,,,
1,HA0820029,4,300034674,525378,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,443.13,2020,08,
2,HA0820029,4,1,"+Med Benefit Reimburse /TS# /Job#200165944",160.00,0,1,3102-301, /Batch #HA0820029 /Timesheet #,9.60,,,,,,,
2,HA0820029,4,2,"Admin Fee /TS# /Job#200165944",2066.35,0,1,3102-301, /Batch #HA0820029 /Timesheet #,123.98,,,,,,,
2,HA0820029,4,3,"EIS /TS# /Job#200165944",7.90,0,2,3102-301, /Batch #HA0820029 /Timesheet #,0.00,,,,,,,
2,HA0820029,4,4,"EPF /TS# /Job#200165944",2400.00,0,2,3102-301, /Batch #HA0820029 /Timesheet #,0.00,,,,,,,
2,HA0820029,4,5,"Fixed Allowance /TS# /Job#200165944",322.74,0,2,3102-301, /Batch #HA0820029 /Timesheet #,0.00,,,,,,,
2,HA0820029,4,6,"Normal /TS# /Job#200165944",19645.16,0,2,3102-301, /Batch #HA0820029 /Timesheet #,0.00,,,,,,,
2,HA0820029,4,7,"Reimbursement/Claim /TS# /Job#200165944",5159.16,0,1,3102-301, /Batch #HA0820029 /Timesheet #,309.55,,,,,,,
2,HA0820029,4,8,"SOCSO /TS# /Job#200165944",69.05,0,2,3102-301, /Batch #HA0820029 /Timesheet #,0.00,,,,,,,
3,HA0820029,4,1,20201022,30273.49,,,,,,,,,,,,
1,PR0820055,5,300034509,525379,1,AP-MONTH=08,20200907,0,20201007,1,0,SST,1,12.92,2020,08,
2,PR0820055,5,1,"+Med Benefit Reimburse /TS# /Job#200160006",75.00,0,1,3102-321, /Batch #PR0820055 /Timesheet #,4.50,,,,,,,
2,PR0820055,5,2,"Admin Fee /TS# /Job#200160006",140.39,0,1,3102-321, /Batch #PR0820055 /Timesheet #,8.42,,,,,,,
2,PR0820055,5,3,"Commission /TS# /Job#200160006",25.17,0,2,3102-321, /Batch #PR0820055 /Timesheet #,0.00,,,,,,,
2,PR0820055,5,4,"EIS /TS# /Job#200160006",2.10,0,2,3102-321, /Batch #PR0820055 /Timesheet #,0.00,,,,,,,
2,PR0820055,5,5,"EPF /TS# /Job#200160006",104.00,0,2,3102-321, /Batch #PR0820055 /Timesheet #,0.00,,,,,,,
2,PR0820055,5,6,"Normal /TS# /Job#200160006",774.19,0,2,3102-321, /Batch #PR0820055 /Timesheet #,0.00,,,,,,,
2,PR0820055,5,7,"Over Time 1.5 /TS# /Job#200160006",15.00,0,2,3102-321, /Batch #PR0820055 /Timesheet #,0.00,,,,,,,
