RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,PR1220099,1,300033975,527287,1,AP-MONTH=12,20210107,0,20210407,1,0,SST,1,14.08,2021,12,
2,PR1220099,1,1,"Admin Fee /TS# /Job#200163388",234.65,0,1,3101-321, /Batch #PR1220099 /Timesheet #,14.08,,,,,,,
2,PR1220099,1,2,"Auto Allowance /TS# /Job#200163388",80.00,0,2,3101-321, /Batch #PR1220099 /Timesheet #,0.00,,,,,,,
2,PR1220099,1,3,"EIS /TS# /Job#200163388",7.90,0,2,3101-321, /Batch #PR1220099 /Timesheet #,0.00,,,,,,,
2,PR1220099,1,4,"EPF /TS# /Job#200163388",523.00,0,2,3101-321, /Batch #PR1220099 /Timesheet #,0.00,,,,,,,
2,PR1220099,1,5,"Normal /TS# /Job#200163388",4013.10,0,2,3101-321, /Batch #PR1220099 /Timesheet #,0.00,,,,,,,
2,PR1220099,1,6,"SOCSO /TS# /Job#200163388",69.05,0,2,3101-321, /Batch #PR1220099 /Timesheet #,0.00,,,,,,,
3,PR1220099,1,1,20210407,4941.78,,,,,,,,,,,,
1,PR1220047,2,300034334,527288,1,AP-MONTH=12,20210107,0,20210206,1,0,SST,1,48.87,2021,12,
2,PR1220047,2,1,"+Med Benefit Reimburse /TS# /Job#200167715",100.00,0,1,3102-321, /Batch #PR1220047 /Timesheet #,6.00,,,,,,,
2,PR1220047,2,2,"Admin Fee /TS# /Job#200167715",714.46,0,1,3102-321, /Batch #PR1220047 /Timesheet #,42.87,,,,,,,
2,PR1220047,2,3,"EIS /TS# /Job#200167715",4.70,0,2,3102-321, /Batch #PR1220047 /Timesheet #,0.00,,,,,,,
2,PR1220047,2,4,"EPF /TS# /Job#200167715",312.00,0,2,3102-321, /Batch #PR1220047 /Timesheet #,0.00,,,,,,,
2,PR1220047,2,5,"Normal /TS# /Job#200167715",2400.00,0,2,3102-321, /Batch #PR1220047 /Timesheet #,0.00,,,,,,,
2,PR1220047,2,6,"SOCSO /TS# /Job#200167715",41.15,0,2,3102-321, /Batch #PR1220047 /Timesheet #,0.00,,,,,,,
3,PR1220047,2,1,20210206,3621.18,,,,,,,,,,,,
1,PR1220048,3,300033278,527289,1,AP-MONTH=12,20210107,0,20210308,1,0,SST,1,83.56,2021,12,
2,PR1220048,3,1,"Night Shift Allowance /TS# /Job#200165014",72.60,0,1,3101-323, /Batch #PR1220048 /Timesheet #,4.36,,,,,,,
2,PR1220048,3,2,"Normal /TS# /Job#200165014",792.00,0,1,3101-323, /Batch #PR1220048 /Timesheet #,47.52,,,,,,,
2,PR1220048,3,3,"Public Holiday 2.0 /TS# /Job#200165014",528.00,0,1,3101-323, /Batch #PR1220048 /Timesheet #,31.68,,,,,,,
3,PR1220048,3,1,20210308,1476.16,,,,,,,,,,,,
1,PR1220048,4,300034271,527290,1,AP-MONTH=12,20210107,0,20210308,1,0,SST,1,569.79,2021,12,
2,PR1220048,4,1,"No Pay Leave for Dec /TS# /Job#200167313",-411.97,0,1,3102-323, /Batch #PR1220048 /Timesheet #,-24.72,,,,,,,
2,PR1220048,4,2,"Normal /TS# /Job#200166827",4257.05,0,1,3102-323, /Batch #PR1220048 /Timesheet #,255.42,,,,,,,
2,PR1220048,4,3,"Normal /TS# /Job#200167313",4257.05,0,1,3102-323, /Batch #PR1220048 /Timesheet #,255.42,,,,,,,
2,PR1220048,4,4,"Over Time 2.0 /TS# /Job#200166827",614.20,0,1,3102-323, /Batch #PR1220048 /Timesheet #,36.85,,,,,,,
2,PR1220048,4,5,"Over Time 2.0 /TS# /Job#200167313",780.20,0,1,3102-323, /Batch #PR1220048 /Timesheet #,46.81,,,,,,,
3,PR1220048,4,1,20210308,10066.32,,,,,,,,,,,,
1,PR1220049,5,300034743,527291,1,AP-MONTH=12,20210107,0,20210206,1,0,SST,1,46.04,2021,12,
2,PR1220049,5,1,"+Med Benefit Reimburse /TS# /Job#200168462",100.00,0,1,3103-321, /Batch #PR1220049 /Timesheet #,6.00,,,,,,,
2,PR1220049,5,2,"Admin Fee /TS# /Job#200168462",667.30,0,1,3103-321, /Batch #PR1220049 /Timesheet #,40.04,,,,,,,
2,PR1220049,5,3,"EIS /TS# /Job#200168462",7.90,0,2,3103-321, /Batch #PR1220049 /Timesheet #,0.00,,,,,,,
2,PR1220049,5,4,"EPF /TS# /Job#200168462",696.00,0,2,3103-321, /Batch #PR1220049 /Timesheet #,0.00,,,,,,,
2,PR1220049,5,5,"Normal /TS# /Job#200168462",5800.00,0,2,3103-321, /Batch #PR1220049 /Timesheet #,0.00,,,,,,,
2,PR1220049,5,6,"SOCSO /TS# /Job#200168462",69.05,0,2,3103-321, /Batch #PR1220049 /Timesheet #,0.00,,,,,,,
3,PR1220049,5,1,20210206,7386.29,,,,,,,,,,,,
1,PR1220049,6,300034743,527292,1,AP-MONTH=12,20210107,0,20210206,1,0,SST,1,236.85,2021,12,
2,PR1220049,6,1,"+Med Benefit Reimburse /TS# /Job#200167575",100.00,0,1,3102-321, /Batch #PR1220049 /Timesheet #,6.00,,,,,,,
2,PR1220049,6,2,"+Med Benefit Reimburse /TS# /Job#200167576",100.00,0,1,3102-321, /Batch #PR1220049 /Timesheet #,6.00,,,,,,,
2,PR1220049,6,3,"+Med Benefit Reimburse /TS# /Job#200167584",100.00,0,1,3103-321, /Batch #PR1220049 /Timesheet #,6.00,,,,,,,
2,PR1220049,6,4,"+Med Benefit Reimburse /TS# /Job#200167578",100.00,0,1,3102-321, /Batch #PR1220049 /Timesheet #,6.00,,,,,,,
2,PR1220049,6,5,"+Med Benefit Reimburse /TS# /Job#200167574",100.00,0,1,3102-321, /Batch #PR1220049 /Timesheet #,6.00,,,,,,,
