RECTYPE,BATCHID,BTCHENTRY,SRCELEDGER,SRCETYPE,DATEENTRY,JRNLDESC,FSCSYR,FSCSPERD
RECTYPE,BATCHNBR,JOURNALID,TRANSNBR,ACCTID,TRANSAMT,TRANSREF,TRANSDATE,SRCELDGR,SRCETYPE,COMMENT,TRANSDESC
1,CH0919008,1,GL,JE,20190916,Cost of Sales - Pays,2019,9
2,CH0919008,1,1,4103-111,3360,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,1,2,2201,-3360,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,1,3,4103-111,200,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,1,4,2201,-200,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,1,5,4103-111,820,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,1,6,2201,-820,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,1,7,4103-111,868,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,1,8,2201,-868,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,1,9,4103-111,1605.3,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,CH0919008,1,10,2201,-1605.3,/TS# /Job#200160028,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,CH0919008,2,GL,JE,20190916,Cost of Sales - Pays,2019,9
2,CH0919008,2,1,4103-111,3174,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,2,2,2201,-3174,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,2,3,4103-111,400,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,2,4,2201,-400,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,2,5,4103-111,1140,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,2,6,2201,-1140,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,2,7,4103-111,514.5,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,2,8,2201,-514.5,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,2,9,4103-111,2570.6,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,CH0919008,2,10,2201,-2570.6,/TS# /Job#200160029,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,CH0919008,3,GL,JE,20190916,Cost of Sales - Pays,2019,9
2,CH0919008,3,1,4103-111,3836,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,3,2,2201,-3836,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,3,3,4103-111,450,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,3,4,2201,-450,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,3,5,4103-111,700,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,3,6,2201,-700,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,3,7,4103-111,463.75,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,3,8,2201,-463.75,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,3,9,4103-111,1551,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,CH0919008,3,10,2201,-1551,/TS# /Job#200160015,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,CH0919008,4,GL,JE,20190916,Cost of Sales - Pays,2019,9
2,CH0919008,4,1,4103-111,3131,/TS# /Job#200160033,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,4,2,2201,-3131,/TS# /Job#200160033,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,4,3,4103-111,1090,/TS# /Job#200160033,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,4,4,2201,-1090,/TS# /Job#200160033,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,4,5,4103-111,160,/TS# /Job#200160033,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
2,CH0919008,4,6,2201,-160,/TS# /Job#200160033,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Reimbursement/Claim","Reimbursement/Claim"
1,CH0919008,5,GL,JE,20190916,Cost of Sales - Pays,2019,9
2,CH0919008,5,1,4103-111,3305,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,5,2,2201,-3305,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Normal","Normal"
2,CH0919008,5,3,4103-111,550,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,5,4,2201,-550,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 2.0","OT 2.0"
2,CH0919008,5,5,4103-111,1080,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,5,6,2201,-1080,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "OT 1.5","OT 1.5"
2,CH0919008,5,7,4103-111,379.75,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
2,CH0919008,5,8,2201,-379.75,/TS# /Job#200160016,20190916,GL,JE,/Batch #CH0919008 /TSheet # /PaySlip # /Item: "Variable Allowance","Variable Allowance"
