RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300033697,IN600223,1,AP-MONTH=12,20181211,0,20190110,1,1,SST,1,270.00,2018,12
2,,1,1,Normal /TS# /Job#200146686,4500.00,0,1,3102-214, /Batch # /Timesheet #,270.00
3,,1,1,20190110,4770.00
1,,1,300033697,IN600224,1,AP-MONTH=12,20181211,0,20190110,1,1,SST,1,261.90,2018,12
2,,1,1,Normal /TS# /Job#200150487,4365.00,0,1,3102-214, /Batch # /Timesheet #,261.90
3,,1,1,20190110,4626.90
1,,1,300033369,IN600225,1,AP-MONTH=12,20181214,0,20190227,1,1,SST,1,160.16,2018,12
2,,1,1,Admin Fee /TS# /Job#200148324,363.66,0,1,3103-211, /Batch # /Timesheet #,21.82
2,,1,2,EIS /TS# /Job#200148324,1.40,0,2,3103-211, /Batch # /Timesheet #,0.00
2,,1,3,Over Time 1.5 /TS# /Job#200148324,3910.00,0,2,3103-211, /Batch # /Timesheet #,0.00
2,,1,4,Over Time 2.0 /TS# /Job#200148324,725.00,0,2,3103-211, /Batch # /Timesheet #,0.00
2,,1,5,Reimbursement/Claim /TS# /Job#200148324,2305.70,0,1,3103-211, /Batch # /Timesheet #,138.34
2,,1,6,SOCSO /TS# /Job#200148324,12.20,0,2,3103-211, /Batch # /Timesheet #,0.00
2,,1,7,Variable Allowance /TS# /Job#200148324,332.50,0,2,3103-211, /Batch # /Timesheet #,0.00
3,,1,1,20190227,7810.62
