1,NO0820037,36,300034284,525273,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,10.42,2020,08,
2,NO0820037,36,1,"Admin Fee /TS# /Job#200164607",173.66,0,1,3102-324, /Batch #NO0820037 /Timesheet #,10.42,,,,,,,
2,NO0820037,36,2,"Day Shift Allowance /TS# /Job#200164607",40.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,3,"EIS /TS# /Job#200164607",3.40,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,4,"EPF /TS# /Job#200164607",18.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,5,"Night Shift Allowance /TS# /Job#200164607",105.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,6,"Over Time 1.5 /TS# /Job#200164607",513.84,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,7,"Over Time 2.0 /TS# /Job#200164607",1027.80,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,8,"Perfect Attendance /TS# /Job#200164607",100.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,36,9,"SOCSO /TS# /Job#200164607",29.70,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
3,NO0820037,36,1,20201022,2021.82,,,,,,,,,,,,
1,NO0820037,37,300034285,525274,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,1.46,2020,08,
2,NO0820037,37,1,"Admin Fee /TS# /Job#200161628",24.30,0,1,3102-324, /Batch #NO0820037 /Timesheet #,1.46,,,,,,,
2,NO0820037,37,2,"Auto Allowance /TS# /Job#200161628",60.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,37,3,"EIS /TS# /Job#200161628",0.20,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,37,4,"Perfect Attendance /TS# /Job#200161628",100.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,37,5,"SOCSO /TS# /Job#200161628",1.80,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
3,NO0820037,37,1,20201022,187.76,,,,,,,,,,,,
1,NO0820037,38,300034275,525275,1,AP-MONTH=08,20200907,0,20201022,1,0,SST,1,14.20,2020,08,
2,NO0820037,38,1,"Admin Fee /TS# /Job#200163677",236.68,0,1,3102-324, /Batch #NO0820037 /Timesheet #,14.20,,,,,,,
2,NO0820037,38,2,"Day Shift Allowance /TS# /Job#200163677",100.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,38,3,"EIS /TS# /Job#200163677",2.80,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,38,4,"EPF /TS# /Job#200163677",13.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,38,5,"Over Time 1.5 /TS# /Job#200163677",2069.76,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,38,6,"Over Time 2.0 /TS# /Job#200163677",394.20,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,38,7,"Perfect Attendance /TS# /Job#200163677",100.00,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
2,NO0820037,38,8,"SOCSO /TS# /Job#200163677",24.40,0,2,3102-324, /Batch #NO0820037 /Timesheet #,0.00,,,,,,,
3,NO0820037,38,1,20201022,2955.04,,,,,,,,,,,,
1,SY0820014,39,300034315,525276,1,AP-MONTH=08,20200907,0,20201007,1,0,SST,1,57.60,2020,08,
2,SY0820014,39,1,"Normal /TS# /Job#200167594",240.00,0,1,3101-321, /Batch #SY0820014 /Timesheet #,14.40,,,,,,,
2,SY0820014,39,2,"Normal /TS# /Job#200167595",240.00,0,1,3101-321, /Batch #SY0820014 /Timesheet #,14.40,,,,,,,
2,SY0820014,39,3,"Normal /TS# /Job#200167596",240.00,0,1,3101-321, /Batch #SY0820014 /Timesheet #,14.40,,,,,,,
2,SY0820014,39,4,"Normal /TS# /Job#200167597",240.00,0,1,3101-321, /Batch #SY0820014 /Timesheet #,14.40,,,,,,,
3,SY0820014,39,1,20201007,1017.60,,,,,,,,,,,,
