RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034588,61664,1,AP-MONTH=06,20210628,0,20210827,1,0,SST,1,690.00,2021,06,
2,,1,1,"Right Choice 3 Month Program /TS# /Job#",11500.00,0,1,3300-600, /Batch # /Timesheet #,690.00,,,,,,,
3,,1,1,20210827,12190.00,,,,,,,,,,,,
1,,2,300034840,61665,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,2,1,"Disbursement Fee /TS# /Job#",3102.89,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,2,1,20210926,3102.89,,,,,,,,,,,,
1,,3,300034840,61666,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,3,1,"Levy /TS# /Job#",70.00,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,3,1,20210926,70.00,,,,,,,,,,,,
1,,4,300033589,61667,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,3.69,2021,06,
2,,4,1,"MSP Fee /TS# /Job#",61.47,0,1,3300-210, /Batch # /Timesheet #,3.69,,,,,,,
3,,4,1,20210926,65.16,,,,,,,,,,,,
1,,5,300033601,61668,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,67.28,2021,06,
2,,5,1,"MSP Fee /TS# /Job#",1121.26,0,1,3300-210, /Batch # /Timesheet #,67.28,,,,,,,
3,,5,1,20210926,1188.54,,,,,,,,,,,,
1,,6,300034840,61669,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,6,1,"Disbursement Fee /TS# /Job#",3874.58,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,6,1,20210926,3874.58,,,,,,,,,,,,
1,,7,300034840,61670,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,7,1,"Disbursement Fee /TS# /Job#",15324.76,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,7,1,20210926,15324.76,,,,,,,,,,,,
1,,8,300034840,61671,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,8,1,"Disbursement Fee /TS# /Job#",478.02,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,8,1,20210926,478.02,,,,,,,,,,,,
1,,9,300034840,61672,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,9,1,"Disbursement Fee /TS# /Job#",5292.80,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,9,1,20210926,5292.80,,,,,,,,,,,,
1,,10,300034840,61673,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,10,1,"Disbursement Fee /TS# /Job#",6024.73,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,10,1,20210926,6024.73,,,,,,,,,,,,
1,,11,300034840,61674,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,11,1,"Disbursement Fee /TS# /Job#",4560.87,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,11,1,20210926,4560.87,,,,,,,,,,,,
1,,12,300034840,61675,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,12,1,"Disbursement Fee /TS# /Job#",13344.03,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,12,1,20210926,13344.03,,,,,,,,,,,,
1,,13,300034840,61676,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,13,1,"Disbursement Fee /TS# /Job#",5718.03,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,13,1,20210926,5718.03,,,,,,,,,,,,
1,,14,300034840,61677,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,14,1,"Disbursement Fee /TS# /Job#",2832.03,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,14,1,20210926,2832.03,,,,,,,,,,,,
1,,15,300034840,61678,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,15,1,"Disbursement Fee /TS# /Job#",6903.05,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,15,1,20210926,6903.05,,,,,,,,,,,,
1,,16,300034840,61679,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,16,1,"Disbursement Fee /TS# /Job#",9245.22,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,16,1,20210926,9245.22,,,,,,,,,,,,
1,,17,300034840,61680,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,17,1,"Disbursement Fee /TS# /Job#",9684.38,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,17,1,20210926,9684.38,,,,,,,,,,,,
1,,18,300034840,61681,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,18,1,"Disbursement Fee /TS# /Job#",31753.97,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,18,1,20210926,31753.97,,,,,,,,,,,,
1,,19,300034840,61682,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,19,1,"Disbursement Fee /TS# /Job#",5309.38,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,19,1,20210926,5309.38,,,,,,,,,,,,
1,,20,300034840,61683,1,AP-MONTH=06,20210628,0,20210926,1,0,GST,3,0.00,2021,06,
2,,20,1,"Disbursement Fee /TS# /Job#",3723.46,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
