RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,,1,300034840,61581,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,1,1,"Disbursement Fee /TS# /Job#",766.30,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,1,1,20210829,766.30,,,,,,,,,,,,
1,,2,300034840,61582,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,2,1,"Disbursement Fee /TS# /Job#",4972.61,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,2,1,20210829,4972.61,,,,,,,,,,,,
1,,3,300034840,61583,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,3,1,"Disbursement Fee /TS# /Job#",9684.38,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,3,1,20210829,9684.38,,,,,,,,,,,,
1,,4,300034840,61584,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,4,1,"Disbursement Fee /TS# /Job#",9245.22,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,4,1,20210829,9245.22,,,,,,,,,,,,
1,,5,300034840,61585,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,5,1,"Disbursement Fee /TS# /Job#",2524.75,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,5,1,20210829,2524.75,,,,,,,,,,,,
1,,6,300034840,61586,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,6,1,"Disbursement Fee /TS# /Job#",179.28,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,6,1,20210829,179.28,,,,,,,,,,,,
1,,7,300034840,61587,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,7,1,"Disbursement Fee /TS# /Job#",951.55,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,7,1,20210829,951.55,,,,,,,,,,,,
1,,8,300034840,61588,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,8,1,"Disbursement Fee /TS# /Job#",1172.78,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,8,1,20210829,1172.78,,,,,,,,,,,,
1,,9,300034840,61589,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,9,1,"Disbursement Fee /TS# /Job#",1323.62,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,9,1,20210829,1323.62,,,,,,,,,,,,
1,,10,300034840,61590,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,10,1,"Disbursement Fee /TS# /Job#",19266.77,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,10,1,20210829,19266.77,,,,,,,,,,,,
1,,11,300034840,61591,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,11,1,"Disbursement Fee /TS# /Job#",35376.06,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,11,1,20210829,35376.06,,,,,,,,,,,,
1,,12,300034840,61592,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,12,1,"Disbursement Fee /TS# /Job#",31576.21,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,12,1,20210829,31576.21,,,,,,,,,,,,
1,,13,300034840,61593,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,13,1,"Disbursement Fee /TS# /Job#",18017.52,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,13,1,20210829,18017.52,,,,,,,,,,,,
1,,14,300034840,61594,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,14,1,"Levy /TS# /Job#",1600.00,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,14,1,20210829,1600.00,,,,,,,,,,,,
1,,15,300034840,61595,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,15,1,"Levy /TS# /Job#",150.00,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,15,1,20210829,150.00,,,,,,,,,,,,
1,,16,300034840,61596,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,16,1,"Levy /TS# /Job#",150.00,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,16,1,20210829,150.00,,,,,,,,,,,,
1,,17,300034840,61597,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,17,1,"Levy /TS# /Job#",167.60,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,17,1,20210829,167.60,,,,,,,,,,,,
1,,18,300034840,61598,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,18,1,"Levy /TS# /Job#",1850.40,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,18,1,20210829,1850.40,,,,,,,,,,,,
1,,19,300034840,61599,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,19,1,"Levy /TS# /Job#",2158.80,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,19,1,20210829,2158.80,,,,,,,,,,,,
1,,20,300034840,61600,1,AP-MONTH=05,20210531,0,20210829,1,0,GST,3,0.00,2021,05,
2,,20,1,"Levy /TS# /Job#",1696.20,0,2,3300-210, /Batch # /Timesheet #,0.00,,,,,,,
3,,20,1,20210829,1696.20,,,,,,,,,,,,
