RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NU1220007,1,300034285,527391,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,10.07,2020,12,
2,NU1220007,1,1,"+Med Benefit Reimburse /TS# /Job#200164035",65.00,0,1,3102-324, /Batch #NU1220007 /Timesheet #,3.90,,,,,,,
2,NU1220007,1,2,"Admin Fee /TS# /Job#200164035",102.80,0,1,3102-324, /Batch #NU1220007 /Timesheet #,6.17,,,,,,,
2,NU1220007,1,3,"EIS /TS# /Job#200164035",1.10,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,1,4,"EPF /TS# /Job#200164035",71.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,1,5,"Normal /TS# /Job#200164035",538.56,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,1,6,"SOCSO /TS# /Job#200164035",9.65,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
3,NU1220007,1,1,20210211,798.18,,,,,,,,,,,,
1,NU1220007,2,300034286,527392,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,39.03,2020,12,
2,NU1220007,2,1,"+Med Benefit Reimburse /TS# /Job#200167880",65.00,0,1,3102-324, /Batch #NU1220007 /Timesheet #,3.90,,,,,,,
2,NU1220007,2,2,"Admin Fee /TS# /Job#200167880",585.48,0,1,3102-324, /Batch #NU1220007 /Timesheet #,35.13,,,,,,,
2,NU1220007,2,3,"EIS /TS# /Job#200167880",5.50,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,2,4,"EPF /TS# /Job#200167880",362.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,2,5,"Normal /TS# /Job#200167880",2772.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,2,6,"SOCSO /TS# /Job#200167880",48.15,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
3,NU1220007,2,1,20210211,3877.16,,,,,,,,,,,,
1,NU1220007,3,300034284,527393,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,37.62,2020,12,
2,NU1220007,3,1,"+Med Benefit Reimburse /TS# /Job#200168022",65.00,0,1,3102-324, /Batch #NU1220007 /Timesheet #,3.90,,,,,,,
2,NU1220007,3,2,"Admin Fee /TS# /Job#200168022",562.08,0,1,3102-324, /Batch #NU1220007 /Timesheet #,33.72,,,,,,,
2,NU1220007,3,3,"EIS /TS# /Job#200168022",5.30,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,3,4,"EPF /TS# /Job#200168022",346.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,3,5,"Normal /TS# /Job#200168022",2660.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,3,6,"SOCSO /TS# /Job#200168022",46.35,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
3,NU1220007,3,1,20210211,3722.35,,,,,,,,,,,,
1,NU1220007,4,300034283,527394,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,48.80,2020,12,
2,NU1220007,4,1,"+Med Benefit Reimburse /TS# /Job#200166700",65.00,0,1,3102-324, /Batch #NU1220007 /Timesheet #,3.90,,,,,,,
2,NU1220007,4,2,"Admin Fee /TS# /Job#200166700",748.31,0,1,3102-324, /Batch #NU1220007 /Timesheet #,44.90,,,,,,,
2,NU1220007,4,3,"EIS /TS# /Job#200166700",7.10,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,4,4,"EPF /TS# /Job#200166700",463.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,4,5,"Normal /TS# /Job#200166700",3560.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,4,6,"SOCSO /TS# /Job#200166700",62.15,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
3,NU1220007,4,1,20210211,4954.36,,,,,,,,,,,,
1,NU1220007,5,300034284,527395,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,29.83,2020,12,
2,NU1220007,5,1,"+Med Benefit Reimburse /TS# /Job#200166693",65.00,0,1,3102-324, /Batch #NU1220007 /Timesheet #,3.90,,,,,,,
2,NU1220007,5,2,"Admin Fee /TS# /Job#200166693",432.17,0,1,3102-324, /Batch #NU1220007 /Timesheet #,25.93,,,,,,,
2,NU1220007,5,3,"EIS /TS# /Job#200166693",4.10,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,5,4,"EPF /TS# /Job#200166693",266.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,5,5,"Normal /TS# /Job#200166693",2030.00,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
2,NU1220007,5,6,"SOCSO /TS# /Job#200166693",35.85,0,2,3102-324, /Batch #NU1220007 /Timesheet #,0.00,,,,,,,
3,NU1220007,5,1,20210211,2862.95,,,,,,,,,,,,
1,NU1220007,6,300034283,527396,1,AP-MONTH=12,20201228,0,20210211,1,0,SST,1,44.97,2020,12,
2,NU1220007,6,1,"+Med Benefit Reimburse /TS# /Job#200163588",65.00,0,1,3102-324, /Batch #NU1220007 /Timesheet #,3.90,,,,,,,
