RECTYPE,CNTBTCH,CNTITEM,IDCUST,IDINVC,TEXTTRX,INVCDESC,DATEINVC,SWMANRTE,DATEDUE,SWTAXBL,SWMANTX,CODETAXGRP,TAXSTTS1,AMTTAX1,FISCYR,FISCPER,
RECTYPE,CNTBTCH,CNTITEM,CNTLINE,TEXTDESC,AMTEXTN,SWMANLTX,TAXSTTS1,IDACCTREV,COMMENT,ITEMTAX,,,,,,,
RECTYPE,CNTBTCH,CNTITEM,CNTPAYM,DATEDUE,AMTDUE,,,,,,,,,,,,
1,NU0920015,1,300034283,525901,1,AP-MONTH=09,20201007,0,20201121,1,0,SST,1,14.33,2020,09,
2,NU0920015,1,1,"Admin Fee /TS# /Job#200166700",238.75,0,1,3102-324, /Batch #NU0920015 /Timesheet #,14.33,,,,,,,
2,NU0920015,1,2,"Day Shift Allowance /TS# /Job#200166700",120.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,1,3,"EIS /TS# /Job#200166700",0.80,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,1,4,"EPF /TS# /Job#200166700",16.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,1,5,"Over Time 1.5 /TS# /Job#200166700",824.64,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,1,6,"Over Time 2.0 /TS# /Job#200166700",1649.52,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,1,7,"Perfect Attendance /TS# /Job#200166700",100.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,1,8,"SOCSO /TS# /Job#200166700",6.90,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
3,NU0920015,1,1,20201121,2970.94,,,,,,,,,,,,
1,NU0920015,2,300034284,525902,1,AP-MONTH=09,20201007,0,20201121,1,0,SST,1,8.93,2020,09,
2,NU0920015,2,1,"Admin Fee /TS# /Job#200166693",148.80,0,1,3102-324, /Batch #NU0920015 /Timesheet #,8.93,,,,,,,
2,NU0920015,2,2,"Auto Allowance /TS# /Job#200166693",100.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,3,"Day Shift Allowance /TS# /Job#200166693",60.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,4,"EIS /TS# /Job#200166693",2.40,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,5,"EPF /TS# /Job#200166693",26.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,6,"Night Shift Allowance /TS# /Job#200166693",135.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,7,"Over Time 1.5 /TS# /Job#200166693",529.20,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,8,"Over Time 2.0 /TS# /Job#200166693",352.68,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,9,"Perfect Attendance /TS# /Job#200166693",100.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,2,10,"SOCSO /TS# /Job#200166693",21.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
3,NU0920015,2,1,20201121,1484.01,,,,,,,,,,,,
1,NU0920015,3,300034283,525903,1,AP-MONTH=09,20201007,0,20201121,1,0,SST,1,5.60,2020,09,
2,NU0920015,3,1,"Admin Fee /TS# /Job#200163588",93.26,0,1,3102-324, /Batch #NU0920015 /Timesheet #,5.60,,,,,,,
2,NU0920015,3,2,"Day Shift Allowance /TS# /Job#200163588",100.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,3,3,"EIS /TS# /Job#200163588",1.40,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,3,4,"EPF /TS# /Job#200163588",-15.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,3,5,"No Pay Leave for Sep /TS# /Job#200163588",-216.66,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,3,6,"Over Time 2.0 /TS# /Job#200163588",1461.96,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,3,7,"SOCSO /TS# /Job#200163588",12.20,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
3,NU0920015,3,1,20201121,1442.76,,,,,,,,,,,,
1,NU0920015,4,300034284,525904,1,AP-MONTH=09,20201007,0,20201121,1,0,SST,1,5.96,2020,09,
2,NU0920015,4,1,"Admin Fee /TS# /Job#200164610",99.39,0,1,3102-324, /Batch #NU0920015 /Timesheet #,5.96,,,,,,,
2,NU0920015,4,2,"Day Shift Allowance /TS# /Job#200164610",110.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,4,3,"EIS /TS# /Job#200164610",2.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,4,4,"EPF /TS# /Job#200164610",15.00,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,4,5,"Over Time 1.5 /TS# /Job#200164610",256.32,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,4,6,"Over Time 2.0 /TS# /Job#200164610",683.52,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
2,NU0920015,4,7,"SOCSO /TS# /Job#200164610",17.50,0,2,3102-324, /Batch #NU0920015 /Timesheet #,0.00,,,,,,,
3,NU0920015,4,1,20201121,1189.69,,,,,,,,,,,,
1,NU0920015,5,300034279,525905,1,AP-MONTH=09,20201007,0,20201121,1,0,SST,1,8.60,2020,09,
